"","Player","Rating"
"1","Shiann Darkangelo",10
"2","Madison Packer",8.09663388304266
"3","Emma Woods",7.67803802494549
"4","Mikyla Grant-Mentis",7.67231412036964
"5","McKenna Brand",7.16194288702882
"6","Kayla Friesen",7.11359984835511
"7","Tereza Vanisova",6.95047352083004
"8","Jonna Curtis",6.58067480351866
"9","Breanne Wilson-Bennett",6.54317624361762
"10","Alyssa Wohlfeiler",6.35264048076293
"11","Samantha Davis",6.10747351762728
"12","Kate Leary",6.02510850028342
"13","Jordan Juron",5.93586715411925
"14","Meghan Lorence",5.88263102386826
"15","Emma Vlasic",5.86854064731022
"16","Allie Thunstrom",5.5942492443126
"17","Brooke Boquist",5.50213391095689
"18","Cassidy MacPherson",5.3800588924848
"19","Janine Weber",5.20294616112741
"20","Haley Mack",5.20255507329498
"21","Jillian Dempsey",5.0847566631527
"22","Christina Putigna",5.08466833457694
"23","Katelynn Russ",5.04397808664517
"24","Natalie Marcuzzi",5.00344673354229
"25","Kelly Babstock",4.95489906111642
"26","Kendall Cornine",4.923882450415
"27","Kristin Lewicki",4.75353514029593
"28","Mackenzie Lancaster",4.44151129897464
"29","Erin Gehen",4.28587932593293
"30","Taylor Wenczkowski",4.24968237708689
"31","Rebecca Russo",4.20666374164867
"32","Sarah-Eve Coutu Godbout",4.08045556735598
"33","Autumn MacDougall",3.96275700570548
"34","Mackenzie MacNeil",3.94910839403567
"35","Lexie Laing",3.93150245399283
"36","Emily Janiga",3.92429629838534
"37","Nina Rodgers",3.89296079580321
"38","Taytum Clairmont",3.85885283741403
"39","Theresa Knutson",3.85797768285195
"40","Nicole Guagliardo",3.7508691097506
"41","Meaghan Pezon",3.61583043999792
"42","Audra Richards",3.36963683771391
"43","Mallory Rushton",3.19490832547835
"44","Paige Voight",3.17106267894076
"45","Sarah Schwenzfeier",3.12742250140826
"46","Brooke Stacey",3.03893123712665
"47","Taylor Wasylk",2.90312836674547
"48","Haylea Schmid",2.88918074023462
"49","Carlee Turner",2.88183378455888
"50","Tori Sullivan",2.7129945054578
"51","Mary Parker",2.39134736980656
"52","Rachael Ade",2.27436567345204
"53","Meghara McManus",2.01252701990109
"54","Kaycie Anderson",1.84770871071112
"55","Emily Fluke",1.5368112622665
"56","Iveta Klimasova",1.33532682524721
"57","Grace Klienbach",1.29488999799961
"58","Meaghan Rickard",1.29049570434611
"59","Amy Curlew",1.09626205561839
"60","Amanda Conway",0.906166218384443
"61","Kayla Meneghin",0.746932201640032
"62","Julie Allen",0.650189197174752
"63","Brittany Colton",0.27975441877674
"64","Maddie Bishop",0.0947541648209171
"65","Sarah Hughson",0.0515064113162012
"66","Maeve Reilly",0
